scenario,initial_soc,tte_h,stop_reason,final_soc,final_voltage_v
Light daily use,0.2,1.663888888888889,SOC threshold,0.029723075036853924,3.018773625962515
Light daily use,0.4,3.7472222222222222,SOC threshold,0.02989657171714812,3.0190371125734807
Light daily use,0.6,5.980555555555555,SOC threshold,0.029820977679719873,3.01896417093091
Light daily use,0.8,8.366666666666667,SOC threshold,0.029945469847662925,3.019098529080759
Light daily use,1.0,10.916666666666666,SOC threshold,0.02985147160609152,3.018997696815811
Video streaming (Wi-Fi),0.2,1.0444444444444445,SOC threshold,0.02981506014921656,3.01164211475491
Video streaming (Wi-Fi),0.4,2.3555555555555556,SOC threshold,0.029653886064114003,3.011789813738058
Video streaming (Wi-Fi),0.6,3.7583333333333333,SOC threshold,0.0297503133457263,3.0119730504742726
Video streaming (Wi-Fi),0.8,5.258333333333334,SOC threshold,0.0298783537113733,3.0121291760598665
Video streaming (Wi-Fi),1.0,6.861111111111111,SOC threshold,0.02983504354320368,3.0120859160477296
Navigation,0.2,0.6638888888888889,SOC threshold,0.029730266078550803,3.0004843783869672
Navigation,0.4,1.4972222222222222,SOC threshold,0.029666697836912555,3.001355589610352
Navigation,0.6,2.388888888888889,SOC threshold,0.029973078303006252,3.0020756672937345
Navigation,0.8,3.3444444444444446,SOC threshold,0.029826814601804308,3.0020662833309038
Navigation,1.0,4.363888888888889,SOC threshold,0.02991732368698515,3.00222028247884
Mobile game,0.2,0.4583333333333333,voltage cutoff,0.03883041399094319,2.9992017529888537
Mobile game,0.4,1.0694444444444444,voltage cutoff,0.03739661067866468,2.9994071348534375
Mobile game,0.6,1.7222222222222223,voltage cutoff,0.03678085980195144,2.999651552446676
Mobile game,0.8,2.4194444444444443,voltage cutoff,0.0365558039126817,2.9998683039361254
Mobile game,1.0,3.1638888888888888,voltage cutoff,0.03635699438662396,2.9998741191215434
